Zaman (sn),Voltaj (V),Label
38.0949,1.6319,1
38.0949,1.6375,1
38.0949,1.6415,1
38.0949,1.6625,1
38.0949,1.6665,1
38.0950,1.6714,1
38.0950,1.6738,1
38.0950,1.6714,1
38.0950,1.6681,1
38.0950,1.6617,1
38.0950,1.6560,1
38.0951,1.6472,1
38.0951,1.6423,1
38.0951,1.6335,1
38.0951,1.6311,1
38.0951,1.6270,1
38.0951,1.6278,1
38.0952,1.6343,1
38.0952,1.6383,1
38.0952,1.6440,1
38.0952,1.6472,1
38.0952,1.6528,1
38.0952,1.6560,1
38.0952,1.6593,1
38.0953,1.6617,1
38.0953,1.6657,1
38.0953,1.6657,1
38.0953,1.6633,1
38.0953,1.6641,1
38.0953,1.6657,1
38.0954,1.6649,1
38.0954,1.6617,1
38.0954,1.6577,1
38.0954,1.6528,1
38.0954,1.6480,1
38.0954,1.6440,1
38.0955,1.6415,1
38.0955,1.6391,1
38.0955,1.6383,1
38.0955,1.6359,1
38.0955,1.6391,1
38.0956,1.6440,1
38.0956,1.6496,1
38.0956,1.6560,1
38.0956,1.6609,1
38.0956,1.6633,1
38.0956,1.6665,1
38.0957,1.6641,1
38.0957,1.6617,1
38.0957,1.6609,1
38.0957,1.6552,1
38.0957,1.6464,1
38.0957,1.6423,1
38.0957,1.6359,1
38.0958,1.6335,1
38.0958,1.6335,1
38.0958,1.6327,1
38.0958,1.6440,1
38.0958,1.6456,1
38.0958,1.6480,1
38.0959,1.6504,1
38.0959,1.6560,1
38.0959,1.6585,1
38.0959,1.6568,1
38.0959,1.6585,1
38.0959,1.6633,1
38.0959,1.6633,1
38.0960,1.6568,1
38.0960,1.6568,1
38.0960,1.6560,1
38.0960,1.6552,1
38.0960,1.6520,1
38.0961,1.6488,1
38.0961,1.6544,1
38.0961,1.6512,1
38.0961,1.6440,1
38.0961,1.6407,1
38.0961,1.6399,1
38.0962,1.6399,1
38.0962,1.6391,1
38.0962,1.6423,1
38.0962,1.6649,1
38.0962,1.6689,1
38.0962,1.6697,1
38.0963,1.6746,1
38.0963,1.6770,1
38.0963,1.6794,1
38.0963,1.6770,1
38.0963,1.6754,1
38.0963,1.6673,1
38.0963,1.6633,1
38.0964,1.6415,1
38.0964,1.6391,1
38.0964,1.6440,1
38.0964,1.6407,1
38.0964,1.6407,1
38.0964,1.6415,1
38.0965,1.6432,1
38.1519,1.6456,1
38.1519,1.6536,1
38.1520,1.6585,1
38.1520,1.6625,1
38.1520,1.6649,1
38.1520,1.6617,1
38.1520,1.6633,1
38.1520,1.6705,1
38.1521,1.6697,1
38.1521,1.6714,1
38.1521,1.6697,1
38.1521,1.6617,1
38.1521,1.6585,1
38.1521,1.6552,1
38.1521,1.6512,1
38.1522,1.6472,1
38.1522,1.6464,1
38.1522,1.6375,1
38.1522,1.6359,1
38.1522,1.6327,1
38.1522,1.6343,1
38.1523,1.6423,1
38.1523,1.6472,1
38.1523,1.6512,1
38.1523,1.6560,1
38.1523,1.6601,1
38.1523,1.6577,1
