Zaman (sn),Voltaj (V),Label
1.3548,1.6528,1
1.3548,1.6391,1
1.3548,1.6295,1
1.3549,1.6206,1
1.3574,1.6182,1
1.3574,1.6141,1
1.3574,1.6182,1
1.3574,1.6286,1
1.3574,1.6343,1
1.3600,1.6472,1
1.3600,1.6585,1
1.3600,1.6714,1
1.3600,1.6810,1
1.3600,1.6875,1
1.3628,1.7415,1
1.3628,1.6851,1
1.3629,1.6899,1
1.3629,1.6794,1
1.3629,1.6746,1
1.3629,1.6633,1
1.3664,1.6577,1
1.3664,1.6448,1
1.3664,1.6319,1
1.3665,1.6198,1
1.3665,1.6109,1
1.3665,1.6141,1
1.3665,1.6190,1
1.3692,1.6270,1
1.3693,1.6423,1
1.3693,1.6544,1
1.3693,1.6689,1
1.3693,1.6754,1
1.3693,1.6859,1
1.3722,1.6907,1
1.3722,1.6915,1
1.3722,1.6931,1
1.3722,1.6907,1
1.3722,1.6842,1
1.3747,1.6786,1
1.3748,1.6705,1
1.3748,1.6585,1
1.3748,1.6432,1
1.3748,1.6391,1
1.3774,1.6262,1
1.3774,1.6198,1
1.3775,1.6174,1
1.3775,1.6174,1
1.3775,1.6270,1
1.3775,1.6335,1
1.3803,1.6464,1
1.3804,1.6552,1
1.3804,1.6738,1
1.3804,1.6826,1
1.3804,1.6883,1
1.3804,1.6939,1
1.3842,1.6971,1
1.3842,1.6818,1
1.3842,1.6891,1
1.3842,1.6778,1
1.3843,1.6746,1
1.3843,1.6617,1
1.3843,1.6472,1
1.3843,1.6383,1
1.3871,1.6230,1
1.3871,1.6182,1
1.3871,1.6125,1
1.3871,1.6125,1
1.3871,1.6278,1
1.3897,1.6407,1
1.3898,1.6552,1
1.3898,1.6714,1
1.3898,1.6818,1
1.3898,1.6891,1
1.3925,1.6931,1
1.3925,1.6939,1
1.3925,1.6915,1
1.3925,1.6907,1
1.3925,1.6867,1
1.3925,1.6778,1
1.3951,1.6697,1
1.3951,1.6601,1
1.3952,1.6440,1
1.3952,1.6367,1
1.3952,1.6270,1
1.3980,1.6206,1
1.3980,1.6214,1
1.3980,1.6182,1
1.3981,1.6327,1
1.3981,1.6391,1
1.3981,1.6496,1
1.4021,1.6657,1
1.4021,1.6738,1
1.4021,1.6818,1
1.4021,1.6899,1
1.4021,1.6931,1
1.4022,1.6915,1
1.4022,1.6907,1
1.4022,1.6842,1
1.4050,1.6770,1
1.4050,1.6722,1
1.4050,1.6585,1
1.4051,1.6464,1
1.4051,1.6343,1
1.4051,1.6198,1
1.4079,1.6117,1
1.4079,1.6117,1
1.4079,1.6141,1
